N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;100;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
1;1;-0.08;0.2;0.2;0.2;0.2;0.2;0.1;0;0
2;1;-0.06;0.2;0.2;0.2;0.2;0.2;0.03;0;0
3;1;-0.07;0.2;0.2;0.2;0.2;0.2;0.06;0;0
4;1;-0.08;0.2;0.2;0.2;0.2;0.2;0.02;0;0
5;1;-0.09;0.2;0.2;0.2;0.2;0.2;0.04;0;0
1;2;-0.11;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;2;-0.11;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;3;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;3;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;4;-0.11;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;4;-0.11;0.2;0.2;0.2;0.2;0.2;0.15;0;0
1;5;-0.11;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;5;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;6;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;6;-0.11;0.2;0.2;0.2;0.2;0.2;0.11;0;0
1;7;-0.11;0.2;0.2;0.2;0.2;0.2;0.15;0;0
2;7;-0.11;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;8;-0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;8;-0.11;0.2;0.2;0.2;0.2;0.2;0.11;0;0
1;9;-0.11;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;9;-0.11;0.2;0.2;0.2;0.2;0.2;0.19;0;0
1;10;-0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;10;-0.11;0.2;0.2;0.2;0.2;0.2;0.04;0;0
1;11;-0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;11;-0.11;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;12;-0.11;0.2;0.2;0.2;0.2;0.2;0.15;0;0
2;12;-0.11;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;13;-0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;13;-0.11;0.2;0.2;0.2;0.2;0.2;0.04;0;0
1;14;-0.11;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;14;-0.11;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;15;-0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;15;-0.11;0.2;0.2;0.2;0.2;0.2;0.13;0;0
1;16;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;16;-0.11;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;17;-0.11;0.2;0.2;0.2;0.2;0.2;0.15;0;0
2;17;-0.11;0.2;0.2;0.2;0.2;0.2;0.16;0;0
1;18;-0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;18;-0.11;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;19;-0.11;0.2;0.2;0.2;0.2;0.2;0.13;0;0
2;19;-0.11;0.2;0.2;0.2;0.2;0.2;0.04;0;0
1;20;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;20;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;21;-0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;21;-0.11;0.2;0.2;0.2;0.2;0.2;0.13;0;0
1;22;-0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;22;-0.11;0.2;0.2;0.2;0.2;0.2;0.13;0;0
1;23;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;23;-0.11;0.2;0.2;0.2;0.2;0.2;0.11;0;0
1;24;-0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;24;-0.11;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;25;-0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
