Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision
"[[61 60], [63 82], [56 94], [ 50 115], [ 46 129]]",61,60,46,129,5,72.3837,0.4118
"[[119  73], [115  99], [114 123]]",119,73,114,123,3,50.3267,0.1111
"[[118 186], [131 159], [141 148], [143 129], [121 121], [122 101]]",118,186,122,101,6,107.3721,0.381
"[[117 149], [119 159], [126 167], [144 172]]",117,149,144,172,4,39.5097,0.8462
"[[113  54], [106  62], [90 72], [79 78], [72 94], [ 66 119], [ 67 145]]",113,54,67,145,7,111.2215,0.2
"[[ 31 117], [34 97], [48 79], [58 59], [66 48]]",31,117,66,48,5,78.9894,0.7647
"[[116  66], [119  73], [138  87], [157  91], [171  84]]",116,66,171,84,5,66.2856,0.0588
"[[119 159], [101 164], [ 91 163], [ 76 144], [ 63 129], [ 51 119], [ 37 106]]",119,159,37,106,7,107.5138,0.88
"[[ 91 163], [101 164], [121 155], [134 146], [147 139], [158 125], [170 104], [174  95], [181  90]]",91,163,181,90,9,123.0002,0.9394
"[[103  89], [109  89], [114 106], [113 115], [100 136]]",103,89,100,136,5,57.4736,0.4118
"[[116 175], [ 91 163], [ 76 144], [ 71 125]]",116,175,71,125,4,71.5852,0.0
"[[ 60 108], [60 95]]",60,108,60,95,2,13.0,0.0
"[[113  18], [103  15], [89 11], [69 31], [66 48], [64 55], [93 61], [112  54]]",113,18,112,54,8,127.6902,0.6552
"[[57 72], [63 82], [ 69 100], [ 87 110], [108 118]]",57,72,108,118,5,73.699,0.2941
"[[112  54], [116  70], [115  94], [113 115], [108 118]]",112,54,108,118,5,67.4392,0.1765
"[[101 164], [ 91 163], [ 82 159], [ 94 142], [100 136]]",101,164,100,136,5,49.1927,0.4118
"[[177  92], [170 104], [157 121], [147 139], [135 146], [132 151]]",177,92,132,151,6,75.608,0.2381
"[[147 148], [158 125], [165  98], [169  86], [171  84], [178  72], [188  56]]",147,148,188,56,7,101.6257,0.2
"[[182  86], [174  69], [157  46], [136  39], [122  28], [112  20]]",182,86,112,20,6,100.1357,0.5714
"[[63 82], [62 71], [67 47]]",63,82,67,47,3,35.5607,0.2222
"[[114 123], [114 106], [109  89], [103  69], [105  62]]",114,123,105,62,5,62.8808,0.4118
"[[59 66], [61 60], [64 55], [66 48], [69 31], [89 11], [103  15]]",59,66,103,15,7,79.5428,0.44
"[[131 112], [108 118], [ 90 122], [ 71 125], [ 63 129], [ 46 129]]",131,112,46,129,6,87.3885,0.0
"[[72 94], [ 69 100], [ 81 116], [ 86 134], [ 91 163], [ 94 169]]",72,94,94,169,6,81.5258,0.2857
"[[108 128], [113 115], [115  99], [113  71]]",108,128,113,71,4,58.1242,0.3846
"[[ 32 134], [ 37 119], [ 39 113], [ 42 107], [56 94], [62 88]]",32,134,62,88,6,56.4344,0.9524
"[[79 78], [62 88], [56 94]]",79,78,56,94,3,28.2084,0.3333
"[[ 30 138], [ 36 134], [ 44 130], [ 46 129], [ 51 126], [ 71 125], [ 88 120], [ 95 118], [113 115], [130 103], [157  91], [171  84], [178  72], [173  65]]",30,138,173,65,14,175.9983,0.3962
"[[105  63], [110  81], [115  99]]",105,63,115,99,3,37.3631,0.0
"[[110  70], [91 75]]",110,70,91,75,2,19.6469,0.0
"[[177  63], [179  64], [178  72], [171  84], [157  91], [130 103], [116 118], [108 128], [ 94 142], [ 81 157]]",177,63,81,157,10,142.3628,0.7568
"[[ 91 163], [ 86 134], [ 81 116], [ 69 100], [63 82], [64 56], [69 31], [89 11], [110  27]]",91,163,110,27,9,193.2824,0.5152
"[[ 66 119], [ 76 144], [ 91 163], [101 164], [119 159]]",66,119,119,159,5,79.8647,0.4118
"[[ 82 132], [ 71 113], [ 69 100], [63 82], [64 56], [69 31], [89 11], [114  29], [113  33]]",82,132,113,33,9,168.8087,0.1212
"[[141 136], [157 121], [165  98], [169  86]]",141,136,169,86,4,58.9324,0.0
"[[98 49], [103  69], [109  89], [114 106], [118 114], [121 121], [145 127]]",98,49,145,127,7,100.5149,0.4
"[[102 119], [113 115], [130 103], [157  91], [179  83]]",102,119,179,83,5,85.4693,0.3529
"[[93 11], [89 17]]",93,11,89,17,2,7.2111,0.0
"[[ 35 147], [ 47 150], [ 67 156], [ 82 159], [ 91 163], [103 166], [124 175], [133 179]]",35,147,133,179,8,103.4613,0.1724
"[[135 146], [147 139], [157 121], [159 103], [145  91]]",135,146,145,91,5,71.0336,0.4118
"[[129  71], [116  73], [94 78], [79 78], [59 91], [ 42 107], [ 39 113], [ 37 119], [ 31 132], [ 29 133]]",129,71,29,133,10,127.4996,0.973
"[[56 91], [59 91], [63 82], [64 56], [69 31], [89 11], [115  23], [149  37], [162  37]]",56,91,162,37,9,171.0526,0.4545
"[[102  59], [90 72], [79 78], [72 94], [ 69 100], [ 63 120], [ 54 134], [ 47 150]]",102,59,47,150,8,109.3824,0.3103
"[[60 95], [62 88], [79 78], [90 72], [102  59], [112  54]]",60,95,112,54,6,68.4053,0.0
"[[124  88], [122 101], [113 115], [108 118]]",124,88,108,118,4,35.6272,0.2308
"[[116  66], [106  62]]",116,66,106,62,2,10.7703,0.0
