Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision
"[[135 160], [137 156], [140 151], [144 135], [134 123], [122 106], [110  90], [99 81], [91 71]]",135,160,91,71,9,110.2436,0.6667,0.6689,0.6324
"[[56 63], [77 72], [91 77], [99 81], [110  90], [122 106], [134 123], [149 131], [154 127]]",56,63,154,127,9,125.0821,0.6667,0.4864,0.4281
"[[124  64], [126  84]]",124,64,126,84,2,20.0998,0.0,0.0441,0.053
"[[52 64], [77 72], [81 74]]",52,64,81,74,3,30.7209,0.0,0.0444,0.0203
"[[187  66], [178  86], [172 105], [169 111], [165 120], [157 140], [157 144]]",187,66,157,144,7,83.9543,0.4,0.5999,0.4476
"[[134 123], [131 119], [136 101], [143  96], [149  93], [178  86], [169  66], [151  52], [146  45], [142  36]]",134,123,142,36,10,132.0113,0.973,0.6295,0.6064
"[[110  90], [99 81], [82 81], [59 90], [ 41 108], [ 23 128]]",110,90,23,128,6,108.2739,0.8571,0.3792,0.2967
"[[141 164], [144 157], [149 150], [154 144], [159 121], [165 103], [171  94], [174  78], [173  69], [166  62], [151  51], [146  45], [125  34], [117  30]]",141,164,117,30,14,171.6517,0.283,0.7331,0.5078
"[[178  86], [160  84], [145  89], [128  81], [107  72], [82 69]]",178,86,82,69,6,100.7371,0.619,0.2308,0.03
"[[158 104], [155 120], [149 131], [140 151], [137 156], [127 168]]",158,104,127,168,6,72.1919,0.8095,0.4272,0.4338
"[[183  56], [164  55], [146  45]]",183,56,146,45,3,39.6176,0.2222,0.4195,0.126
"[[ 47 150], [ 71 156], [ 93 165], [108 163], [129 160], [144 160]]",47,150,144,160,6,99.8543,0.381,0.1992,0.1499
"[[126  84], [129 106], [131 119], [144 135], [140 151], [137 156], [135 160], [123 177], [120 179]]",126,84,120,179,9,107.1818,0.7879,0.6126,0.0288
"[[107  72], [91 68], [77 64], [65 49], [66 29], [91  2], [107  28]]",107,72,107,28,7,137.6124,0.52,0.8017,0.7768
"[[59 50], [57 54], [51 77], [ 40 100], [ 33 108], [ 29 123], [ 23 128]]",59,50,23,128,7,87.7015,0.56,0.6304,0.4887
"[[ 52 115], [ 59 118], [ 73 134]]",52,115,73,134,3,28.8761,0.0,0.0685,0.0295
"[[ 29 103], [37 98], [51 77], [56 63], [66 29], [91  2], [79 11]]",29,103,79,11,7,136.7757,0.72,0.9874,0.8894
"[[116 168], [131 152]]",116,168,131,152,2,21.9317,0.0,0.0042,0.1012
