Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Prob_collision_robotino_object_detection_error
"[[123  78], [123  79], [105  98], [ 94 117], [ 85 121], [ 67 123], [ 46 121]]",123,78,46,121,7,98.1817,0.6,0.4136,0.0048,,,,
"[[96 68], [92 77], [97 96], [ 99 106], [ 91 118], [ 85 121], [ 79 127], [ 70 140], [ 65 153]]",96,68,65,153,9,99.0492,0.2727,0.197,0.0546,,,,
"[[91 99], [97 96], [101  94], [107  89], [123  79]]",91,99,123,79,5,37.8586,0,0.0129,0.0577,,,,
"[[92 38], [98 56], [106  74]]",92,38,106,74,3,38.6714,0.1111,0.0802,0.0503,,,,
"[[157  55], [159  58], [134  65], [136  68], [140  81]]",157,55,140,81,5,46.7741,0.7059,0.315,0.2458,,,,
"[[129 186], [115 177], [100 166], [ 88 158], [ 86 156], [ 74 150]]",129,186,74,150,6,65.9114,0.381,0.1551,0.0454,,,,
"[[ 94 117], [105  98], [110  81], [110  63]]",94,117,110,63,4,57.6745,0.3846,0.345,0.0442,,,,
"[[ 94 130], [103 126]]",94,130,103,126,2,9.8489,0,0.0507,0.0463,,,,
"[[137  92], [131 102], [127 106], [107 124], [ 95 137], [ 86 156], [ 88 158], [100 166], [112 169], [131 180]]",137,92,131,180,10,134.5161,0.3243,0.7717,0.3855,,,,
"[[165  88], [157 111], [152 104]]",165,88,152,104,3,32.9539,0.8889,0.2663,0.2165,,,,
"[[85 72], [90 78], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [112 169]]",85,72,112,169,10,116.1828,0.6216,0.4674,0.1779,,,,
"[[93  5], [99 30], [94 41], [104  52], [112  55], [122  61]]",93,5,122,61,6,72.8649,1,0.4992,0.4792,,,,
"[[103 126], [ 88 122], [ 85 121], [ 64 115], [ 57 116]]",103,126,57,116,5,47.5978,0.2353,0.0452,0.0561,,,,
"[[ 63 141], [ 77 139], [ 98 134]]",63,141,98,134,3,35.7292,0,0.0855,0.0125,,,,
"[[92 35], [94 41], [104  52], [114  64], [123  78]]",92,35,123,78,5,53.4544,0.3529,0.1237,0.0351,,,,
"[[120 122], [112 124], [ 98 135], [ 95 137], [ 86 156], [ 88 158], [100 166], [115 167], [143 179]]",120,122,143,179,9,113.4271,0.3636,0.73,0.4387,,,,
"[[88 51], [88 63], [83 80]]",88,51,83,80,3,29.72,0,0.0256,0.0359,,,,
"[[194  59], [165  88], [164  90], [157 118], [152 134], [148 147], [147 166]]",194,59,147,166,7,121.5008,1,0.6561,0.6395,,,,
"[[112  55], [110  74], [105  98], [ 94 117], [ 85 121], [ 62 125]]",112,55,62,125,6,98.7689,0.7143,0.3825,0.2315,,,,
"[[122  61], [104  59], [88 57]]",122,61,88,57,3,34.2353,0,0.0318,0.0306,,,,
"[[133  63], [130  68], [127  88], [119 106], [116 121], [112 133]]",133,63,112,133,6,73.6986,0,0.2719,0.1079,,,,
"[[88 53], [90 62], [92 77], [97 96], [ 99 106], [ 94 117], [ 90 138], [ 86 156], [ 93 158]]",88,53,93,158,9,113.377,0.4545,0.4117,0.003,,,,
"[[ 50 118], [ 64 115], [ 91 118], [105  98], [120  79], [134  65], [159  58]]",50,118,159,58,7,135.865,0.32,0.5061,0.0777,,,,
"[[ 87 142], [ 94 162], [100 166], [113 162], [127 160], [141 157]]",87,142,141,157,6,70.4621,0.4762,0.3195,0.3194,,,,
"[[92 77], [101  83], [107  89], [111  97], [119 106], [127 114], [133 125]]",92,77,133,125,7,64.1315,0.48,0.3393,0.3227,,,,
"[[136  68], [130  73], [122  91], [115  98], [104 112], [ 97 126], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [157 118]]",136,68,157,118,14,196.705,0.3396,0.6543,0.6443,,,,
"[[157  55], [159  58], [134  65], [135  85], [135 108]]",157,55,135,108,5,72.592,0.7059,0.4934,0.4263,,,,
"[[123  92], [113  81], [106  74], [101  70]]",123,92,101,70,4,31.1687,0.3846,0.1085,0.0304,,,,
"[[ 46 121], [ 64 115], [ 91 118], [103 111], [110 108], [122  96]]",46,121,122,96,6,84.6186,0.4762,0.1398,0.1134,,,,
"[[133  63], [123  79], [115  98], [104 112], [ 97 126], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [155 126], [159 113], [162 106], [167  93]]",133,63,167,93,16,225.7076,0.3934,0.45,0.4424,,,,
"[[90  6], [93  5], [99 30], [94 41], [102  60], [110  81], [115  98], [119 106]]",90,6,119,106,8,110.7073,1,0.7403,0.6868,,,,
"[[115 177], [127 160], [133 155], [138 152], [144 148], [151 119]]",115,177,151,119,6,71.4938,0.1429,0.4223,0.2237,,,,
