Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_Brute_force_8_pix,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Risk,Prob_collision_robotino_object_detection_error
"[[69 58], [66 70], [67 94], [ 79 120], [ 85 135], [ 90 152], [ 91 160]]",69,58,91,160,7,106.9636,0.32,0.4056,0.3228,0.0652,0.45,0.4,0.55,35.0208,
"[[ 48 124], [ 61 114], [ 72 102]]",48,124,72,102,3,32.68,0.0,0.0261,0.0614,0.0366,0.05,0.0,0.1,30.7968,
"[[ 60 143], [ 56 149]]",60,143,56,149,2,7.2111,0.0,0.0058,0.0324,0.0646,0.0,0.0,0.0,30.4911,
"[[97 55], [108  70], [118  81], [121 100], [125 112], [144 135], [147 145]]",97,55,147,145,7,105.6248,0.4,0.4845,0.5564,0.3541,0.55,0.5,0.6,35.8118,
"[[125  96], [121 100], [117 111], [ 99 121], [ 79 120], [ 61 114], [ 53 110]]",125,96,53,110,7,85.8957,0.36,0.4287,0.284,0.1661,0.45,0.5,0.7,35.2669,
"[[82 77], [67 94], [ 61 114], [ 55 124], [ 49 133]]",82,77,49,133,5,66.0307,0.0,0.0528,0.067,0.0133,0.1,0.1,0.1,31.2794,
"[[144 135], [123 114], [101 119], [ 99 121], [ 84 126], [ 67 127], [ 56 130]]",144,135,56,130,7,99.3305,0.92,0.9995,0.3696,0.15,1.0,1.0,1.0,40.9709,
"[[122 103], [145  95], [158  93], [178  76], [181  58]]",122,103,181,58,5,82.0016,0.8235,0.8891,0.3958,0.3708,0.9,0.9,1.0,39.6396,
"[[195  59], [181  58], [178  82], [154  88], [128  84]]",195,59,128,84,5,89.267,0.7647,0.8361,0.6061,0.2027,0.85,0.8,0.9,39.1043,
"[[75  9], [83 16], [101  23], [117  28], [130  35], [149  48], [161  56], [172  72], [178  82], [154  88], [150  90], [146  83]]",75,9,146,83,12,167.2666,0.6667,0.8005,0.913,0.8179,0.8,0.85,0.9,39.5287,
"[[ 72 134], [ 84 126], [ 99 121], [101 119], [123 114], [143 129], [154 139]]",72,134,154,139,7,95.4891,0.32,0.3964,0.386,0.3372,0.4,0.4,0.4,34.9367,
"[[152  46], [161  56], [178  76], [158  93], [145  95], [133 108], [125 112]]",152,46,125,112,7,105.7403,1.0,1.0,0.6737,0.3115,1.0,1.0,1.0,41.8186,
"[[ 35 147], [ 40 149], [ 57 154], [ 66 157], [ 76 163], [ 92 167], [117 165], [142 164]]",35,147,142,164,8,110.8462,0.4828,0.5715,0.0534,0.1007,0.58,0.6,0.7,36.798,
"[[91  7], [105  16], [117  28], [130  35], [152  46], [162  52], [175  73], [169  93], [165 113], [160 129], [148 152], [137 167]]",91,7,137,167,12,211.9186,0.8222,0.9917,0.7534,0.7503,1.0,1.0,1.0,41.4123,
"[[83 17], [101  23], [117  28], [130  35], [149  48], [161  56], [172  72], [178  82], [154  88], [128  84], [118  81], [98 72]]",83,17,98,72,12,202.4404,0.7556,0.9176,1.0038,0.9947,1.0,1.0,1.0,40.6762,
"[[152  40], [157  48], [161  56], [172  72], [178  82], [154  88], [128  84], [119  78]]",152,40,119,78,8,111.3178,0.4138,0.5029,0.6972,0.3898,0.5,0.55,0.7,36.1108,
"[[ 60 143], [ 62 121], [67 94], [77 71], [80 55]]",60,143,80,55,5,90.9085,0.0,0.0727,0.1314,0.0581,0.2,0.15,0.2,31.4616,
"[[128 109], [125 112], [144 135], [134 165], [131 172], [122 187]]",128,109,122,187,6,90.8069,0.7619,0.8345,0.5788,0.5265,0.85,0.8,0.9,39.2067,
