rl_prob,brute_prob,traj,len_traj,len_traj_list_in_m,rl_actions_to_crash_lists,wall_discards
"[(0.4, 1)]",0.4444,"[[165  96], [171  85], [171  71]]","[[165  96], [171  85], [171  71]]",26.53,[[4]],790
"[(0.2, 1)]",0.3333,"[[103  53], [79 58], [67 72]]","[[103  53], [79 58], [67 72]]",42.9544,[[4]],790
[],0.0,"[[ 61 113], [62 93], [66 81], [72 56], [74 38], [82 14]]","[[ 61 113], [62 93], [66 81], [72 56], [74 38], [82 14]]",101.793,[],790
[],0.0,"[[ 65 153], [ 84 165]]","[[ 65 153], [ 84 165]]",22.4722,[],790
[],0.0,"[[ 65 108], [ 70 125], [ 69 148]]","[[ 65 108], [ 70 125], [ 69 148]]",40.7418,[],790
[],0.0,"[[ 49 119], [ 58 109]]","[[ 49 119], [ 58 109]]",13.4536,[],790
"[(0.2222, 2), (0.0476, 5)]",0.4138,"[[ 81 128], [ 77 118], [ 73 100], [72 83], [73 77], [79 58], [86 45], [89 36]]","[[ 81 128], [ 77 118], [ 73 100], [72 83], [73 77], [79 58], [86 45], [89 36]]",96.4981,"[[3, 5], [4, 4, 5, 4, 5]]",790
[],0.0,"[[37 90], [36 88]]","[[37 90], [36 88]]",2.2361,[],790
"[(0.1111, 2), (0.5238, 7), (0.1905, 5), (0.0476, 6)]",0.6897,"[[98 16], [96 21], [88 40], [96 53], [114  70], [132  90], [129 104], [115 129]]","[[98 16], [96 21], [88 40], [96 53], [114  70], [132  90], [129 104], [115 129]]",135.902,"[[8, 4], [3, 3, 4, 8, 6, 7, 3], [3, 4, 4, 1, 6], [0, 5, 3, 7, 4, 4]]",790
[],0.0,"[[71 26], [79 38], [86 45], [96 58]]","[[71 26], [79 38], [86 45], [96 58]]",40.7229,[],790
[],0.0,"[[70 31], [65 49], [68 77], [ 62 100], [ 64 120], [ 61 143]]","[[70 31], [65 49], [68 77], [ 62 100], [ 64 120], [ 61 143]]",113.9061,[],790
[],0.0,"[[ 85 115], [ 77 118], [ 70 125], [ 50 133]]","[[ 85 115], [ 77 118], [ 70 125], [ 50 133]]",39.9842,[],790
"[(0.3333, 7), (0.0588, 4)]",0.303,"[[ 50 121], [ 58 109], [ 62 100], [68 77], [79 58], [86 45], [90 33], [105  18], [119  28]]","[[ 50 121], [ 58 109], [ 62 100], [68 77], [79 58], [86 45], [90 33], [105  18], [119  28]]",135.8271,"[[4, 8, 4, 2, 7, 5, 2], [6, 2, 0, 5]]",790
"[(0.0588, 4), (0.0476, 6)]",0.24,"[[ 47 109], [62 93], [65 86], [68 77], [79 58], [86 60], [104  55]]","[[ 47 109], [62 93], [65 86], [68 77], [79 58], [86 60], [104  55]]",86.9505,"[[4, 6, 1, 5], [5, 4, 4, 3, 7, 4]]",790
[],0.0,"[[142 151], [129 172]]","[[142 151], [129 172]]",24.6982,[],790
"[(0.4706, 4), (0.2222, 2)]",0.4706,"[[63 47], [68 77], [ 73 100], [ 85 115], [109 132]]","[[63 47], [68 77], [ 73 100], [ 85 115], [109 132]]",102.5713,"[[1, 6, 1, 1], [0, 8]]",790
[],0.0,"[[49 85], [50 91], [ 56 113], [ 57 136], [ 64 149]]","[[49 85], [50 91], [ 56 113], [ 57 136], [ 64 149]]",66.6728,[],790
