rl_prob,brute_prob,traj,len_traj,len_traj_list_in_m,rl_actions_to_crash_lists,wall_discards
"[(0.4286, 6), (0.4286, 2)]",0.4054,"[[63 38], [68 68], [71 89], [ 74 113], [ 78 133], [ 82 148], [ 89 160], [ 93 173], [129 166], [141 162]]","[[63 38], [68 68], [71 89], [ 74 113], [ 78 133], [ 82 148], [ 89 160], [ 93 173], [129 166], [141 162]]",188.5513,"[[0, 5, 3, 3, 8, 1], [3, 4]]",710
"[(0.3529, 3)]",0.3529,"[[ 74 113], [68 92], [70 71], [86 59], [86 61]]","[[ 74 113], [68 92], [70 71], [86 59], [86 61]]",64.9354,"[[3, 3, 6]]",710
"[(0.3846, 1)]",0.3846,"[[ 89 113], [ 77 106], [ 72 104], [75 90]]","[[ 89 113], [ 77 106], [ 72 104], [75 90]]",33.5954,[[5]],710
[],0.0,"[[86 13], [76 38], [61 60], [50 74], [47 81]]","[[86 13], [76 38], [61 60], [50 74], [47 81]]",78.9731,[],710
"[(0.381, 7), (0.381, 2)]",0.5918,"[[105  61], [113  64], [121  67], [126  70], [123  87], [120  92], [115 106], [104 129], [ 91 141], [ 82 148], [ 89 160], [ 93 173], [127 170]]","[[105  61], [113  64], [121  67], [126  70], [123  87], [120  92], [115 106], [104 129], [ 91 141], [ 82 148], [ 89 160], [ 93 173], [127 170]]",177.0933,"[[7, 6, 1, 2, 1, 5, 6], [2, 1]]",710
[],0.0,"[[ 64 125], [ 64 106], [53 96], [51 94]]","[[ 64 125], [ 64 106], [53 96], [51 94]]",36.6945,[],710
[],0.0,"[[ 16 132], [ 35 130], [ 55 127], [ 64 125]]","[[ 16 132], [ 35 130], [ 55 127], [ 64 125]]",48.5483,[],710
"[(0.3846, 2)]",0.3846,"[[65 81], [68 92], [ 77 106], [ 89 113]]","[[65 81], [68 92], [ 77 106], [ 89 113]]",41.9375,"[[8, 4]]",710
[],0.0,"[[ 33 139], [ 29 131], [ 27 128]]","[[ 33 139], [ 29 131], [ 27 128]]",12.5498,[],710
"[(0.3333, 8), (0.3333, 2)]",0.2121,"[[ 55 135], [ 75 131], [ 80 129], [ 89 123], [ 96 120], [115 117], [120  92], [123  87], [126  70]]","[[ 55 135], [ 75 131], [ 80 129], [ 89 123], [ 96 120], [115 117], [120  92], [123  87], [126  70]]",112.0378,"[[0, 5, 4, 1, 5, 2, 6, 3], [4, 4]]",710
[],0.0,"[[ 91 141], [ 88 130], [ 89 113]]","[[ 91 141], [ 88 130], [ 89 113]]",28.4311,[],710
[],0.0,"[[165 100], [173  94]]","[[165 100], [173  94]]",10.0,[],710
"[(0.8095, 11)]",1.0,"[[174  69], [162  51], [149  42], [143  38], [115  19], [92 23], [90 45], [93 50], [102  55], [104  57], [121  67], [126  99]]","[[174  69], [162  51], [149  42], [143  38], [115  19], [92 23], [90 45], [93 50], [102  55], [104  57], [121  67], [126  99]]",194.996,"[[3, 1, 0, 2, 7, 2, 5, 7, 1, 2, 5]]",710
[],0.0,"[[ 68 102], [ 64 106], [ 52 117], [ 43 122], [ 29 131]]","[[ 68 102], [ 64 106], [ 52 117], [ 43 122], [ 29 131]]",48.8746,[],710
"[(0.3077, 3)]",0.3077,"[[93  8], [87 30], [81 56], [74 78]]","[[93  8], [87 30], [81 56], [74 78]]",72.5736,"[[3, 5, 3]]",710
"[(0.4444, 1)]",0.4444,"[[68 92], [ 77 106], [ 92 113]]","[[68 92], [ 77 106], [ 92 113]]",33.1963,[[3]],710
[],0.0,"[[ 74 113], [ 80 112]]","[[ 74 113], [ 80 112]]",6.0828,[],710
"[(0.4118, 2)]",0.4118,"[[77 80], [74 78], [81 56], [87 30], [93 11]]","[[77 80], [74 78], [81 56], [87 30], [93 11]]",73.3005,"[[0, 1]]",710
[],0.0,"[[ 18 137], [ 39 122], [ 52 117], [ 64 106], [ 68 102]]","[[ 18 137], [ 39 122], [ 52 117], [ 64 106], [ 68 102]]",61.671,[],710
"[(0.4444, 2)]",0.4444,"[[157  96], [170  91], [173  74]]","[[157  96], [170  91], [173  74]]",31.1911,"[[6, 4]]",710
"[(0.0476, 6)]",0.1034,"[[ 38 141], [ 54 134], [ 66 130], [ 83 126], [ 89 123], [ 96 120], [115 117], [124 104]]","[[ 38 141], [ 54 134], [ 66 130], [ 83 126], [ 89 123], [ 96 120], [115 117], [124 104]]",96.9484,"[[2, 6, 8, 5, 4, 4]]",710
[],0.0,"[[ 48 150], [ 54 138], [ 58 124], [ 64 106], [60 87]]","[[ 48 150], [ 54 138], [ 58 124], [ 64 106], [60 87]]",66.3668,[],710
"[(0.3333, 2)]",0.3333,"[[121  27], [111  21], [78 12]]","[[121  27], [111  21], [78 12]]",45.8672,"[[4, 7]]",710
[],0.0,"[[ 29 122], [ 44 133], [ 58 138], [ 76 145], [ 82 148]]","[[ 29 122], [ 44 133], [ 58 138], [ 76 145], [ 82 148]]",59.4886,[],710
[],0.0,"[[ 75 135], [ 78 151]]","[[ 75 135], [ 78 151]]",16.2788,[],710
"[(0.2308, 2)]",0.2308,"[[103  53], [93 50], [90 45], [81 41]]","[[103  53], [93 50], [90 45], [81 41]]",26.1201,"[[0, 1]]",710
[],0.0,"[[87 17], [76 38], [65 55], [57 71], [49 92], [ 38 106], [ 29 122]]","[[87 17], [76 38], [65 55], [57 71], [49 92], [ 38 106], [ 29 122]]",120.4778,[],710
"[(0.4762, 4), (0.4762, 1), (0.0952, 5)]",0.6207,"[[ 89 113], [ 77 106], [68 92], [74 78], [81 56], [92 23], [115  19], [139  36]]","[[ 89 113], [ 77 106], [68 92], [74 78], [81 56], [92 23], [115  19], [139  36]]",156.3953,"[[4, 7, 7, 5], [5], [1, 4, 2, 2, 5]]",710
"[(0.2381, 4)]",0.2381,"[[ 40 120], [ 43 122], [ 69 126], [ 96 120], [115 117], [115 106]]","[[ 40 120], [ 43 122], [ 69 126], [ 96 120], [115 117], [115 106]]",87.8055,"[[3, 4, 2, 4]]",710
[],0.0,"[[ 38 141], [ 59 143], [ 84 145]]","[[ 38 141], [ 59 143], [ 84 145]]",46.1749,[],710
"[(0.3333, 6), (0.3333, 3)]",0.28,"[[ 35 130], [ 44 133], [ 69 126], [ 96 120], [115 117], [124 104], [129  79]]","[[ 35 130], [ 44 133], [ 69 126], [ 96 120], [115 117], [124 104], [129  79]]",123.6488,"[[4, 4, 5, 6, 0, 4], [3, 3, 4]]",710
[],0.0,"[[ 46 147], [ 55 134], [ 64 125], [ 74 113], [ 77 106]]","[[ 46 147], [ 55 134], [ 64 125], [ 74 113], [ 77 106]]",51.7756,[],710
[],0.0,"[[53 96], [53 90], [57 71]]","[[53 96], [53 90], [57 71]]",25.4165,[],710
"[(0.4286, 4)]",0.44,"[[124 104], [115 117], [ 99 118], [ 92 113], [ 77 106], [68 92], [62 68]]","[[124 104], [115 117], [ 99 118], [ 92 113], [ 77 106], [68 92], [62 68]]",98.3798,"[[6, 6, 8, 5]]",710
"[(0.4444, 1)]",0.4444,"[[ 90 110], [ 77 106], [64 89]]","[[ 90 110], [ 77 106], [64 89]]",35.0024,[[5]],710
[],0.0,"[[188  66], [174  69]]","[[188  66], [174  69]]",14.3178,[],710
[],0.0,"[[56 78], [62 68], [65 59]]","[[56 78], [62 68], [65 59]]",21.1487,[],710
[],0.0,"[[ 69 126], [ 43 122], [ 29 122]]","[[ 69 126], [ 43 122], [ 29 122]]",40.3059,[],710
[],0.0,"[[146 162], [141 162]]","[[146 162], [141 162]]",5.0,[],710
"[(0.2381, 3)]",0.3103,"[[60 50], [62 68], [68 92], [ 72 104], [ 76 114], [ 78 117], [ 84 135], [ 86 137]]","[[60 50], [62 68], [68 92], [ 72 104], [ 76 114], [ 78 117], [ 84 135], [ 86 137]]",91.6765,"[[5, 8, 4]]",710
[],0.0,"[[112 173], [125 164]]","[[112 173], [125 164]]",15.8114,[],710
"[(0.1905, 6)]",0.2069,"[[ 91 141], [ 86 137], [ 84 135], [ 78 117], [ 76 114], [ 72 104], [76 89], [80 85]]","[[ 91 141], [ 86 137], [ 84 135], [ 78 117], [ 76 114], [ 72 104], [76 89], [80 85]]",63.7621,"[[1, 4, 3, 3, 1, 2]]",710
"[(0.3529, 3)]",0.3529,"[[ 64 106], [68 92], [70 71], [86 59], [94 56]]","[[ 64 106], [68 92], [70 71], [86 59], [94 56]]",64.1992,"[[2, 8, 6]]",710
"[(0.1538, 3), (0.0769, 3)]",0.1538,"[[112  67], [129  79], [123  87], [115 121]]","[[112  67], [129  79], [123  87], [115 121]]",65.7372,"[[4, 6, 1], [5, 5, 5]]",710
"[(0.4286, 1)]",0.4286,"[[115 117], [ 99 118], [ 92 113], [ 77 106], [68 92], [62 68]]","[[115 117], [ 99 118], [ 92 113], [ 77 106], [68 92], [62 68]]",82.5684,[[5]],710
[],0.0,"[[ 42 138], [ 54 138]]","[[ 42 138], [ 54 138]]",12.0,[],710
[],0.0,"[[ 99 118], [ 80 112]]","[[ 99 118], [ 80 112]]",19.9249,[],710
[],0.0,"[[ 90 110], [ 89 113], [ 80 136]]","[[ 90 110], [ 89 113], [ 80 136]]",27.8605,[],710
"[(0.381, 7), (0.381, 2)]",0.3784,"[[104 129], [102 125], [ 96 120], [ 89 113], [ 77 106], [68 92], [74 78], [81 56], [92 23], [115  19]]","[[104 129], [102 125], [ 96 120], [ 89 113], [ 77 106], [68 92], [74 78], [81 56], [92 23], [115  19]]",149.1663,"[[2, 5, 4, 4, 5, 5, 3], [2, 5]]",710
