N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;100;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
1;1;0.9;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;1;0.91;0.2;0.2;0.2;0.2;0.2;1;1;0
1;2;0.94;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;2;0.94;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;2;0.96;0.2;0.2;0.2;0.2;0.2;0.0;0;0
4;2;0.94;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
5;2;0.92;0.2;0.2;0.2;0.2;0.2;0.0;0;0
6;2;0.93;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
7;2;0.91;0.2;0.2;0.2;0.2;0.2;0.0;0;0
8;2;0.89;0.2;0.2;0.2;0.2;0.2;1;1;0
1;3;0.91;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;3;0.89;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
1;4;0.83;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;4;0.84;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;4;0.86;0.2;0.2;0.2;0.2;0.2;0.0;0;0
4;4;0.88;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;4;0.85;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
6;4;0.9;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;5;0.95;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;5;0.96;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;5;0.95;0.2;0.2;0.2;0.2;0.2;0.0;0;0
4;5;0.86;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;6;0.91;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
2;6;0.9;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;6;0.85;0.2;0.2;0.2;0.2;0.2;0.0;0;0
4;6;0.9;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;6;0.9;0.2;0.2;0.2;0.2;0.2;0.0;0;0
6;6;0.9;0.2;0.2;0.2;0.2;0.2;0.0;0;0
7;6;0.95;0.2;0.2;0.2;0.2;0.2;0.0;0;0
8;6;0.96;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
9;6;0.89;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
1;7;0.9;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;7;0.89;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;7;0.9;0.2;0.2;0.2;0.2;0.2;0.0;0;0
4;7;0.91;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;7;0.88;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
1;8;0.89;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;8;0.91;0.2;0.2;0.2;0.2;0.2;1;1;0
1;9;0.92;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;9;0.93;0.2;0.2;0.2;0.2;0.2;-0.02;0;0
3;9;0.92;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
1;10;0.87;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;10;0.84;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
3;10;0.83;0.2;0.2;0.2;0.2;0.2;0.0;0;0
4;10;0.88;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;10;0.84;0.2;0.2;0.2;0.2;0.2;0.0;0;0
6;10;0.85;0.2;0.2;0.2;0.2;0.2;0.0;0;0
