N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;100;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
1;1;0.29;0.2;0.2;0.2;0.2;0.2;-0.25;0;0.17
1;2;0.29;0.2;0.2;0.2;0.2;0.2;-0.03;0;0.0
1;3;0.29;0.2;0.2;0.2;0.2;0.2;-1.09;1;0.09
1;4;0.3;0.2;0.2;0.2;0.2;0.2;-1.0;1;-0.0
1;5;0.29;0.2;0.2;0.2;0.2;0.2;-0.2;0;0.19
1;6;0.27;0.2;0.2;0.2;0.2;0.2;-0.25;0;0.24
1;7;0.29;0.2;0.2;0.2;0.2;0.2;-0.17;0;0.1
1;8;0.3;0.2;0.2;0.2;0.2;0.2;-0.24;0;0.23
1;9;0.3;0.2;0.2;0.2;0.2;0.2;-0.08;0;0.04
1;10;0.29;0.2;0.2;0.2;0.2;0.2;-0.03;0;0.0
1;11;0.27;0.2;0.2;0.2;0.2;0.2;-1.16;1;0.16
1;12;0.27;0.2;0.2;0.2;0.2;0.2;-1.42;1;0.42
1;13;0.29;0.2;0.2;0.2;0.2;0.2;-1.2;1;0.2
1;14;0.29;0.2;0.2;0.2;0.2;0.2;-0.06;0;0.0
1;15;0.29;0.2;0.2;0.2;0.2;0.2;-1.0;1;0.0
1;16;0.3;0.2;0.2;0.2;0.2;0.2;-1.07;1;0.07
1;17;0.31;0.2;0.2;0.2;0.2;0.2;-1.12;1;0.12
1;18;0.29;0.2;0.2;0.2;0.2;0.2;-0.06;0;0.0
1;19;0.28;0.2;0.2;0.2;0.2;0.2;-1.17;1;0.17
1;20;0.31;0.2;0.2;0.2;0.2;0.2;-0.81;1;-0.19
1;21;0.27;0.2;0.2;0.2;0.2;0.2;-1.13;1;0.13
1;22;0.3;0.2;0.2;0.2;0.2;0.2;-0.05;0;0.0
1;23;0.29;0.2;0.2;0.2;0.2;0.2;-0.11;0;0.07
1;24;0.29;0.2;0.2;0.2;0.2;0.2;-0.04;0;0.0
1;25;0.28;0.2;0.2;0.2;0.2;0.2;-1.0;1;0.0
1;26;0.29;0.2;0.2;0.2;0.2;0.2;-0.03;0;0.0
1;27;0.3;0.2;0.2;0.2;0.2;0.2;-0.06;0;0.0
1;28;0.3;0.2;0.2;0.2;0.2;0.2;-0.06;0;0.0
1;29;0.3;0.2;0.2;0.2;0.2;0.2;-1.16;1;0.16
1;30;0.28;0.2;0.2;0.2;0.2;0.2;-1.26;1;0.26
1;31;0.28;0.2;0.2;0.2;0.2;0.2;-1.4;1;0.4
1;32;0.29;0.2;0.2;0.2;0.2;0.2;-0.75;1;-0.25
1;33;0.31;0.2;0.2;0.2;0.2;0.2;-0.07;0;0.04
1;34;0.3;0.2;0.2;0.2;0.2;0.2;-1.0;1;0.0
1;35;0.29;0.2;0.2;0.2;0.2;0.2;-0.34;0;0.29
1;36;0.29;0.2;0.2;0.2;0.2;0.2;-0.04;0;0.0
1;37;0.29;0.2;0.2;0.2;0.2;0.2;-1.17;1;0.17
1;38;0.3;0.2;0.2;0.2;0.2;0.2;-1.02;1;0.02
1;39;0.29;0.2;0.2;0.2;0.2;0.2;-0.04;0;0.0
1;40;0.28;0.2;0.2;0.2;0.2;0.2;-0.14;0;0.06
1;41;1.2;0.13;0.13;0.24;0.26;0.25;-0.07;0;0.0
1;42;1.12;0.13;0.13;0.23;0.26;0.25;-1.05;1;0.05
1;43;1.43;0.13;0.13;0.23;0.26;0.25;-1.14;1;0.14
1;44;1.35;0.13;0.13;0.24;0.26;0.25;-0.74;1;-0.26
1;45;1.03;0.13;0.13;0.23;0.26;0.24;-0.07;0;0.0
1;46;1.27;0.13;0.13;0.23;0.26;0.25;-1.1;1;0.1
1;47;1.16;0.13;0.12;0.23;0.26;0.25;-0.02;0;0.0
1;48;0.82;0.13;0.12;0.24;0.25;0.26;-0.97;1;-0.03
1;49;1.41;0.13;0.13;0.23;0.26;0.25;-1.0;1;0.0
1;50;1.0;0.13;0.13;0.23;0.27;0.24;-1.07;1;0.07
1;51;1.17;0.13;0.12;0.23;0.26;0.26;-0.05;0;0.0
1;52;1.41;0.13;0.12;0.23;0.26;0.25;-0.11;0;0.09
1;53;1.35;0.13;0.13;0.23;0.27;0.25;-0.07;0;0.0
1;54;1.1;0.13;0.13;0.23;0.26;0.25;-0.04;0;0.0
1;55;1.22;0.13;0.13;0.23;0.26;0.25;-1.04;1;0.04
1;56;1.11;0.13;0.13;0.23;0.26;0.26;-0.04;0;0.0
1;57;1.27;0.12;0.12;0.24;0.26;0.26;-1.1;1;0.1
1;58;1.34;0.12;0.13;0.24;0.24;0.26;-0.02;0;-0.0
1;59;0.99;0.13;0.13;0.23;0.26;0.25;-1.15;1;0.15
1;60;1.04;0.13;0.13;0.24;0.25;0.25;-0.06;0;0.0
1;61;1.03;0.12;0.13;0.23;0.26;0.26;-0.99;1;-0.01
1;62;1.19;0.13;0.13;0.23;0.26;0.25;-1.16;1;0.16
1;63;1.05;0.12;0.13;0.23;0.26;0.25;-1.2;1;0.2
1;64;0.95;0.12;0.12;0.23;0.26;0.26;-0.05;0;0.0
1;65;1.39;0.13;0.12;0.23;0.26;0.26;-1.12;1;0.12
1;66;1.24;0.13;0.13;0.23;0.26;0.26;-0.07;0;0.02
1;67;1.36;0.12;0.13;0.23;0.26;0.25;-0.02;0;0.0
1;68;0.99;0.13;0.13;0.24;0.25;0.25;-0.06;0;0.0
1;69;1.15;0.13;0.12;0.24;0.25;0.26;-0.09;0;0.06
1;70;1.18;0.13;0.13;0.23;0.26;0.26;-0.06;0;0.0
1;71;1.15;0.13;0.12;0.23;0.26;0.26;-1.13;1;0.13
1;72;1.56;0.13;0.12;0.23;0.26;0.26;-0.14;0;0.06
1;73;1.08;0.13;0.13;0.23;0.27;0.25;-1.02;1;0.02
1;74;0.97;0.13;0.13;0.23;0.26;0.26;-0.56;1;-0.44
1;75;0.99;0.13;0.13;0.23;0.26;0.25;-1.0;1;0.0
1;76;1.13;0.13;0.12;0.23;0.27;0.25;-1.2;1;0.2
1;77;1.16;0.13;0.13;0.23;0.26;0.25;-0.02;0;0.0
1;78;1.12;0.13;0.13;0.23;0.26;0.26;-1.0;1;0.0
1;79;1.24;0.13;0.13;0.23;0.27;0.25;-1.0;1;0.0
1;80;1.11;0.13;0.13;0.23;0.26;0.25;-1.15;1;0.15
1;81;1.92;0.1;0.11;0.34;0.3;0.15;-1.0;1;0.0
1;82;1.25;0.11;0.1;0.34;0.29;0.16;-0.07;0;0.0
1;83;1.44;0.09;0.1;0.35;0.3;0.16;-1.15;1;0.15
1;84;2.11;0.09;0.1;0.33;0.34;0.15;-1.0;1;-0.0
1;85;0.82;0.08;0.09;0.37;0.3;0.16;-1.09;1;0.09
1;86;1.68;0.09;0.1;0.35;0.3;0.16;-0.12;0;0.07
1;87;1.65;0.09;0.1;0.33;0.32;0.15;-0.08;0;0.03
1;88;1.31;0.1;0.1;0.35;0.3;0.15;-0.08;0;0.03
1;89;1.49;0.1;0.1;0.33;0.31;0.15;-1.0;1;0.0
1;90;1.43;0.1;0.11;0.33;0.31;0.15;-0.03;0;0.0
1;91;1.33;0.1;0.1;0.33;0.31;0.16;-1.13;1;0.13
1;92;1.09;0.08;0.11;0.37;0.29;0.15;-0.95;1;-0.05
1;93;1.75;0.09;0.1;0.35;0.31;0.15;-1.02;1;0.02
1;94;0.78;0.11;0.11;0.32;0.31;0.15;-0.08;0;0.03
1;95;2.3;0.1;0.11;0.35;0.29;0.16;-0.11;0;0.06
1;96;0.82;0.09;0.09;0.35;0.3;0.17;-0.92;1;-0.08
1;97;1.87;0.09;0.1;0.35;0.3;0.16;-1.0;1;0.0
1;98;1.94;0.09;0.1;0.35;0.3;0.16;-0.22;0;0.16
1;99;1.25;0.1;0.1;0.35;0.3;0.16;-0.86;1;-0.14
1;100;1.5;0.09;0.09;0.37;0.3;0.16;-0.08;0;0.03
