Unnamed: 0,box,klapp,hocker,robotino,generic,geofenced,ws1,ws2,ws3,ws4,ws5,ws6
collisions,0,0,0,0,0,3,0,0,0,2,1,0
risks,[],[],[],[],[],"[(0.4, 1), (0.2222, 5), (0.4, 1)]",[],[],[],"[(0.2222, 5), (0.4, 1)]","[(0.4, 1)]",[]
averageRisk,0,0,0,0,0,0.3407333333333334,0,0,0,0.31110000000000004,0.4,0
relativeOccurence,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
obstacleRisk,0.0,0.0,0.0,0.0,0.0,0.3407333333333334,0.0,0.0,0.0,0.20740000000000003,0.13333333333333333,0.0
,0,0,0,0,0,2,0,2,2,4,4,0
,[],[],[],[],[],"[(0.6667, 3), (0.3333, 2)]",[],"[(0.6667, 3), (0.3333, 2)]","[(0.1111, 3), (0.2222, 2)]","[(0.2222, 4), (0.2222, 2), (0.2222, 2), (0.2222, 2)]","[(0.1111, 2), (0.0, 3), (0.2222, 3), (0.4, 1)]",[]
,0,0,0,0,0,0.5,0,0.5,0.16665000000000002,0.2222,0.18332500000000002,0
,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0
,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.027775,0.07406666666666667,0.061108333333333334,0.0
